lambda (mm), material, size index, min size (mm), max size (mm), porosity, ice fraction, opacity
1.2, Silicate mixt., -3.5, 1e-4, 10, 0, .22, .06
1.2, Silicate mixt., -3.5, 1e-4, 10, .5, .22, .064
1.2, Silicate mixt., -3.5, 1e-4, 10, .8, .22, .068
1.2, Silicate mixt., -3.5, 1e-4, 10, 0, .48, .07
1.2, Silicate mixt., -3.5, 1e-4, 10, .5, .48, .072
1.2, Silicate mixt., -3.5, 1e-4, 10, .8, .48, .07

1.2, Silicate mixt., -3.5, 1e-4, 100, 0, 0, .024
1.2, Silicate mixt., -3.5, 1e-4, 100, .5, 0, .03
1.2, Silicate mixt., -3.5, 1e-4, 100, .8, 0, .042
1.2, Silicate mixt., -3.5, 1e-4, 100, 0, .22, .026
1.2, Silicate mixt., -3.5, 1e-4, 100, .5, .22, .034
1.2, Silicate mixt., -3.5, 1e-4, 100, .8, .22, .046
1.2, Silicate mixt., -3.5, 1e-4, 100, 0, .48, .03
1.2, Silicate mixt., -3.5, 1e-4, 100, .5, .48, .039
1.2, Silicate mixt., -3.5, 1e-4, 100, .8, .48, .051

1.2, Silicate mixt., -4.0, 1e-4, 1, 0, 0, .035
1.2, Silicate mixt., -4.0, 1e-4, 1, .5, 0, .036
1.2, Silicate mixt., -4.0, 1e-4, 1, .8, 0, .045
1.2, Silicate mixt., -4.0, 1e-4, 1, 0, .22, .037
1.2, Silicate mixt., -4.0, 1e-4, 1, .5, .22, .04
1.2, Silicate mixt., -4.0, 1e-4, 1, .8, .22, .049
1.2, Silicate mixt., -4.0, 1e-4, 1, 0, .48, .042
1.2, Silicate mixt., -4.0, 1e-4, 1, .5, .48, .046
1.2, Silicate mixt., -4.0, 1e-4, 1, .8, .48, .054

1.2, Silicate mixt., -4.0, 1e-4, 10, 0, 0, .037
1.2, Silicate mixt., -4.0, 1e-4, 10, .5, 0, .041
1.2, Silicate mixt., -4.0, 1e-4, 10, .8, 0, .051
1.2, Silicate mixt., -4.0, 1e-4, 10, 0, .22, .041
1.2, Silicate mixt., -4.0, 1e-4, 10, .5, .22, .045
1.2, Silicate mixt., -4.0, 1e-4, 10, .8, .22, .054
1.2, Silicate mixt., -4.0, 1e-4, 10, 0, .48, .048
1.2, Silicate mixt., -4.0, 1e-4, 10, .5, .48, .052
1.2, Silicate mixt., -4.0, 1e-4, 10, .8, .48, .058

1.2, Silicate mixt., -4.0, 1e-4, 100, 0, 0, .036
1.2, Silicate mixt., -4.0, 1e-4, 100, .5, 0, .038
1.2, Silicate mixt., -4.0, 1e-4, 100, .8, 0, .048
1.2, Silicate mixt., -4.0, 1e-4, 100, 0, .22, .036
1.2, Silicate mixt., -4.0, 1e-4, 100, .5, .22, .042
1.2, Silicate mixt., -4.0, 1e-4, 100, .8, .22, .051
1.2, Silicate mixt., -4.0, 1e-4, 100, 0, .48, .042
1.2, Silicate mixt., -4.0, 1e-4, 100, .5, .48, .048
1.2, Silicate mixt., -4.0, 1e-4, 100, .8, .48, .056

0.8, Astro. silicates, -3.0, 1e-4, 1, 0, 0, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .5, 0, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .8, 0, 
0.8, Astro. silicates, -3.0, 1e-4, 1, 0, .22, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .5, .22, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .8, .22, 
0.8, Astro. silicates, -3.0, 1e-4, 1, 0, .48, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .5, .48, 
0.8, Astro. silicates, -3.0, 1e-4, 1, .8, .48, 

0.8, Astro. silicates, -3.0, 1e-4, 10, 0, 0, 
0.8, Astro. silicates, -3.0, 1e-4, 10, .5, 0, 
0.8, Astro. silicates, -3.0, 1e-4, 10, .8, 0, 
